"departement","vaches"
"Ain","169.5"
"Aisne","190.5"
"Allier","504.2"
"Alpes-de-Haute-Provence","14.3"
"Hautes-Alpes","32.1"
"Alpes-Maritimes","2.3"
"Ardèche","51.2"
"Ardennes","250.3"
"Ariège","79.6"
"Aube","49.2"
"Aude","25.0"
"Aveyron","457.7"
"Bouches-du-Rhône","19.2"
"Calvados","378.0"
"Cantal","483.8"
"Charente","137.3"
"Charente-Maritime","92.0"
"Cher","158.4"
"Corrèze","279.1"
"Corse-du-Sud","21.1"
"Haute-Corse","38.2"
"Côte-d'Or","223.9"
"Côtes-d'Armor","510.8"
"Creuse","418.1"
"Dordogne","216.0"
"Doubs","244.6"
"Drôme","33.6"
"Eure","150.4"
"Eure-et-Loir","37.4"
"Finistère","427.2"
"Gard","14.6"
"Haute-Garonne","94.7"
"Gers","85.3"
"Gironde","40.0"
"Hérault","12.8"
"Ille-et-Vilaine","641.3"
"Indre","218.1"
"Indre-et-Loire","79.0"
"Isère","149.1"
"Jura","153.1"
"Landes","44.5"
"Loir-et-Cher","49.0"
"Loire","293.4"
"Haute-Loire","216.1"
"Loire-Atlantique","468.6"
"Loiret","36.3"
"Lot","129.3"
"Lot-et-Garonne","60.9"
"Lozère","150.4"
"Maine-et-Loire","463.7"
"Manche","744.0"
"Marne","63.5"
"Haute-Marne","199.5"
"Mayenne","578.4"
"Meurthe-et-Moselle","183.8"
"Meuse","210.1"
"Morbihan","380.9"
"Moselle","241.9"
"Nièvre","335.9"
"Nord","321.3"
"Oise","102.8"
"Orne","443.6"
"Pas-de-Calais","360.5"
"Puy-de-Dôme","331.7"
"Pyrénées-Atlantiques","248.4"
"Hautes-Pyrénées","101.9"
"Pyrénées-Orientales","15.4"
"Bas-Rhin","110.8"
"Haut-Rhin","55.8"
"Rhône","98.8"
"Haute-Saône","196.0"
"Saône-et-Loire","611.3"
"Sarthe","302.0"
"Savoie","68.3"
"Haute-Savoie","107.6"
"Paris","0.0"
"Seine-Maritime","402.9"
"Seine-et-Marne","15.2"
"Yvelines","6.5"
"Deux-Sèvres","338.2"
"Somme","194.6"
"Tarn","144.5"
"Tarn-et-Garonne","56.6"
"Var","1.2"
"Vaucluse","0.7"
"Vendée","539.0"
"Vienne","139.7"
"Haute-Vienne","333.9"
"Vosges","245.3"
"Yonne","101.5"
"Territoire de Belfort","18.3"
"Essonne","0.4"
"Hauts-de-Seine","0.0"
"Seine-Saint-Denis","0.0"
"Val-de-Marne","0.0"
"Val-d'Oise","3.0"
